objectid,filename,title,format,date,type,extant,location,latitude,longitude,description,subject,identifier,relation,creator,contributor,rights
lol001,lol-001.mp3,"Smelling Perfumes While on Day Hike Rest, Setting Up",audio/mpeg,2024-02-22,Sound,00:04.51,Wilderness Park,40.75139,-96.71696,"A compound laugh beginning with a belly laugh and trailing to a chuckle. Ella was taking a rest with a dear friend on a long walk in Wilderness Park and brought samples of natural, wild-crafted perfumes for the pair to smell and describe the scents of together. This is the first laugh in a series of three clips isolating distinct laughs from the original recording. This laugh occured while setting up the recording. Ella remembers feeling amusing, silly, and charmed.",amusing;belly laugh;charmed;chuckle;compound laugh;pair;silly,lol.001,lol.002;lol.003,"Durham, Ella",,© Ella Durham 2025. All rights reserved.
lol002,lol-002.mp3,"Smelling Perfumes While on Day Hike Rest, Revealing Scent",audio/mpeg,2024-02-23,Sound,00:02.69,Wilderness Park,40.75139,-96.71696,"Hoarse laugh, bray. Ella was taking a rest with a dear friend on a long walk in Wilderness Park and brought samples of natural, wild-crafted perfumes for the pair to smell and describe the scents of together. This is the second laugh in a series of three clips isolating distinct laughs from the original recording. This laugh occured after Ella shared thoughts on the main note of one of the perfumes. Ella remembers feeling amusing, silly, and charmed.",amusing;bray;charmed;hoarse laugh;pair;silly,lol.002,lol.001;lol.003,"Durham, Ella",,© Ella Durham 2025. All rights reserved.
lol003,lol-003.mp3,"Smelling Perfumes While on Day Hike Rest, Mid-sentence",audio/mpeg,2024-02-24,Sound,00:02.99,Wilderness Park,40.75139,-96.71696,"Chuckle. Ella was taking a rest with a dear friend on a long walk in Wilderness Park and brought samples of natural, wild-crafted perfumes for the pair to smell and describe the scents of together. This is the third laugh in a series of three clips isolating distinct laughs from the original recording. This laugh occured mid-conversation. Ella remembers feeling amusing, silly, and charmed.",amusing;charmed;chuckle;pair;silly,lol.003,lol.001;lol.002,"Durham, Ella",,© Ella Durham 2025. All rights reserved.
lol004,lol-004.mp3,Attending Work Meeting,audio/mpeg,2023-05-24,Sound,00:01.91,Love Memorial Library,40.81806,-96.70252,"Guffaw trailing to laugh. In a meeting with supervisor and colleague, Ella made a brazen statement and laughed at how others reacted. ",brazen;guffaw;comical;group,lol.004,,"Durham, Ella",,© Ella Durham 2025. All rights reserved.
lol005,lol-005.mp3,Sitting Around Campfire,audio/mpeg,2021-03-27,Sound,00:06.10,Fort Kearney State Historical Park,40.64279,-99.0062,"Uncontrollable, howling guffaw. Ella was roasting a vegetarian hot dog over a fire and couldn't stop laughing at how the hot dog looked. This laugh happened while camping with two family members, one family member is laughing in the background.",absurd;guffaw;group;nonsensical;uncontrollable laughter,lol.005,,"Durham, Ella",Anonymous,© Ella Durham 2025. All rights reserved.
lol006,lol-006.mp3,Eating a Pastry in Bed,audio/mpeg,2021-05-21,Sound,00:01.00,"Lincoln, Nebraska;Home",40.8,-96.67993,Sly giggle. Ella was eating a crumbly pastry while in bed and feeling mischevious.,giggle;mischievous;pair;sly,lol.006,,"Durham, Ella",,© Ella Durham 2025. All rights reserved.
lol007,lol-007.mp3,Talking After Read-Aloud Activity and Observation,audio/mpeg,2024-04-05,Sound,00:01.99,Wilderness Park,40.75139,-96.71696,Cackle. Ella was talking with a family member after reading aloud a zine together for a reesarch project. This laugh occured after Ella made a joke.,cackle;humorous;pair,lol.007,,"Durham, Ella",,© Ella Durham 2025. All rights reserved.
lol008,lol-008.mp3,Sending Voice Text,audio/mpeg,2025-03-19,Sound,00:01.94,"Lincoln, Nebraska;Home",40.8,-96.66696,Chuckle. Ella was sending a voice message and this laugh occured mid-sentence and while feeling coy.,chuckle;coy;solo,lol.008,,"Durham, Ella",,© Ella Durham 2025. All rights reserved.
lol009,lol-009.mp3,Thinking to Self While Awaiting Visitor,audio/mpeg,2025-03-07,Sound,00:05.33,"Lincoln, Nebraska;Home",40.8,-96.66696,Trailing belly laugh. Ella was awating company. This laugh occured after realizing a mistake had been made. Ella remembers feeling foolish and funny. ,belly laugh;foolish;funny;solo,lol.009,,"Durham, Ella",,© Ella Durham 2025. All rights reserved.
lol010,lol-010.mp3,Walking by Self After Farewell,audio/mpeg,2025-03-09,Sound,00:01.89,Frank Shoemaker Marsh,40.91266,-96.68604,Charmed chuckle. This laugh occured while Ella was walking after a date. ,giddy;solo,lol.010,,"Durham, Ella",,© Ella Durham 2025. All rights reserved.
